request_number,response_time,status_code
1,2888.364,503
2,702.443,503
3,96.415,503
4,171.308,503
5,186.887,503
6,243.188,503
7,64.131,503
8,323.29200000000003,503
9,120.09400000000001,503
10,166.38400000000001,503
11,142.72299999999998,503
12,181.01,503
13,153.372,503
14,88.532,503
15,477.675,503
16,253.474,503
17,93.667,503
1,5550.845,502
2,1061.0949999999998,502
3,1020.7870000000001,502
4,805.9929999999999,502
1,1334.6009999999999,502
2,1182.389,502
3,1131.492,502
4,847.2610000000001,502
1,mqtt,11731.363,200
2,extraction,1103.7330000000002,200
3,analysis,1337.97,200
4,mqtt,2029.385,200
5,extraction,1031.018,200
6,analysis,1046.168,200
1,mqtt,3017.224,200
2,extraction,889.1790000000001,200
3,analysis,651.327,502
4,mqtt,2085.769,200
5,extraction,536.3820000000001,200
6,analysis,503.907,502
7,mqtt,2228.067,200
8,extraction,793.938,200
9,analysis,714.557,502
10,mqtt,2148.2619999999997,200
11,extraction,565.764,200
12,analysis,983.621,200
13,mqtt,2154.9719999999998,200
14,extraction,681.345,200
15,analysis,597.9830000000001,502
16,mqtt,2329.0099999999998,200
17,extraction,650.971,200
18,analysis,1015.393,200
19,mqtt,2098.024,200
20,extraction,705.727,200
21,analysis,778.337,502
22,mqtt,2274.76,200
23,extraction,764.688,200
24,analysis,898.5640000000001,200
25,mqtt,2331.46,200
26,extraction,837.2429999999999,200
27,analysis,1129.7740000000001,200
28,mqtt,2300.977,200
29,extraction,1111.8539999999998,200
30,analysis,965.0260000000001,502
31,mqtt,2362.69,200
32,extraction,835.328,200
33,analysis,990.912,200
34,mqtt,1982.0800000000002,200
35,extraction,865.058,200
36,analysis,696.414,502
37,mqtt,2167.7270000000003,200
38,extraction,831.7600000000001,200
39,analysis,643.5999999999999,502
40,mqtt,2744.089,200
41,extraction,933.21,200
42,analysis,878.263,502
43,mqtt,2109.969,200
44,extraction,759.873,200
45,analysis,655.353,502
46,mqtt,2325.62,200
47,extraction,669.826,200
48,analysis,836.877,502
49,mqtt,2604.6490000000003,200
50,extraction,761.6659999999999,200
51,analysis,556.417,502
52,mqtt,2380.1820000000002,200
53,extraction,654.871,200
54,analysis,580.292,502
55,mqtt,2048.19,200
56,extraction,605.603,200
57,analysis,677.601,502
58,mqtt,2452.1890000000003,200
59,extraction,831.3589999999999,200
60,analysis,866.85,200
61,mqtt,2342.585,200
62,extraction,878.231,200
63,analysis,819.634,200
64,mqtt,2403.125,200
65,extraction,619.597,200
66,analysis,622.103,200
67,mqtt,2303.172,200
68,extraction,673.731,200
69,analysis,995.637,200
70,mqtt,2388.801,200
71,extraction,963.4789999999999,200
72,analysis,711.596,502
73,mqtt,2493.353,200
74,extraction,715.506,200
75,analysis,609.9440000000001,502
76,mqtt,2503.326,200
77,extraction,830.13,200
78,analysis,730.4739999999999,502
79,mqtt,1947.4309999999998,200
80,extraction,880.674,200
81,analysis,726.016,502
82,mqtt,2253.7509999999997,200
83,extraction,798.049,200
84,analysis,922.7379999999999,200
85,mqtt,2459.652,200
86,extraction,743.936,200
87,analysis,946.294,200
88,mqtt,2142.828,200
89,extraction,726.994,200
90,analysis,730.506,502
91,mqtt,2361.243,200
92,extraction,699.409,200
93,analysis,884.488,200
94,mqtt,2338.4900000000002,200
95,extraction,665.879,200
96,analysis,635.7,502
97,mqtt,2102.6220000000003,200
98,extraction,756.664,200
99,analysis,860.966,200
100,mqtt,2526.5879999999997,200
101,extraction,588.1650000000001,200
102,analysis,684.923,502
1,mqtt,0.0,0
